Hostname 3,DT vs SEP,AD vs DT,LD vs DT,LD User,AV Group,Domain,Desk Location (if known),Label,Tags,Type,Priority,Hostname,IPs,MacAddress,Vendor,OperatingSystem,FirstSeen,LastSeen,Last Seen Month ,Host,Hostname2
Gold_host,In SEP Report = Y,In AD Report = Y,In LanD Report = Y,Walker,,FRA,,,"DNS Server,Domain Controller,SMB Server,Microsoft Windows,Domain Authenticated,DHCP Server",DNS Server,,fr-sa-dc01.FRA.com,10.22.22.22,,,Windows 7 or 8,"Wed Aug 24 2016, 17:39:00","Mon Apr 8 2019, 15:09:32",Apr,Host,Gold_host
Amsalpw0746,In SEP Report = N,In AD Report = N,In LanD Report = N,DT -10.10.99.20,,,,,,Desktop,,Amsalpw0746.FRA.com,10.10.99.20,54:ab:3a:f4:d1:c9,QUANTA COMPUTER INC.,Linux 3.11 and newer,"Wed May 24 2017, 10:35:08","Mon Apr 8 2019, 14:35:13",Apr,Host,Amsalpw0746
Amsalpw1789,In SEP Report = N,In AD Report = N,In LanD Report = N,"DT -10.14.0.102,10.14.0.76,10.14.0.78,10.14.0.82,10.14.0.85",,,,,"Conflicting User-Agents,Domain Authenticated",Laptop,,Amsalpw1789.FRA.com,"10.14.0.102,10.14.0.76,10.14.0.78,10.14.0.82,10.14.0.85",80:e6:50:03:09:6a,"Apple, Inc.",Mac OS X 10.x,"Wed Nov 2 2016, 07:37:42","Mon Apr 8 2019, 14:36:07",Apr,Host,Amsalpw1789
Amsalpw2216,In SEP Report = N,In AD Report = N,In LanD Report = N,DT -10.10.99.26,,,,,,Desktop,,Amsalpw2216.FRA.com,10.10.99.26,40:83:de:f3:fb:0d,Zebra Technologies Inc,"Windows 7, 8 or 10","Wed Jun 21 2017, 14:35:00","Mon Apr 8 2019, 13:54:33",Apr,Host,Amsalpw2216
Amsalpw2224,In SEP Report = N,In AD Report = N,In LanD Report = N,DT -10.10.99.104,,,,,,Desktop,,Amsalpw2224.FRA.com,10.10.99.104,c8:f7:50:ad:f2:8a,Dell Inc.,Windows NT kernel,"Thu Mar 21 2019, 11:22:05","Mon Apr 8 2019, 14:30:12",Apr,Host,Amsalpw2224
Amsalpw2269,In SEP Report = N,In AD Report = N,In LanD Report = N,DT -10.14.0.117,,,,,Domain Authenticated,Mobile,,Amsalpw2269.FRA.com,10.14.0.117,78:4f:43:93:04:1b,"Apple, Inc.",Mac OS X,"Wed Apr 26 2017, 11:46:47","Mon Apr 8 2019, 15:15:37",Apr,Host,Amsalpw2269
AmsALPW2363,In SEP Report = N,In AD Report = N,In LanD Report = N,DT -10.14.0.123,,,,,"External DNS,Domain Authenticated",Laptop,,AmsALPW2363.FRA.com,10.14.0.123,ac:87:a3:11:16:fa,"Apple, Inc.",Mac OS X,"Wed Nov 2 2016, 09:45:52","Mon Apr 8 2019, 15:28:12",Apr,Host,AmsALPW2363
Amsalpw2426,In SEP Report = N,In AD Report = N,In LanD Report = N,DT -10.10.128.13,,,,,Microsoft Windows,Desktop,,Amsalpw2426.FRA.com,10.10.128.13,60:67:20:98:d5:b8,Intel Corporate,Linux 2.2.x-3.x,"Tue Nov 8 2016, 21:31:59","Mon Apr 8 2019, 14:40:36",Apr,Host,Amsalpw2426
Amsalpw2426,In SEP Report = N,In AD Report = N,In LanD Report = N,DT -10.242.17.154,,,,,"Microsoft Windows,New Device",Desktop,,Amsalpw2426.FRA.com,10.242.17.154,,,Mac OS X,"Mon Apr 8 2019, 09:31:08","Mon Apr 8 2019, 14:40:29",Apr,Host,Amsalpw2426
